feature,coefficient,abs_coefficient
cat__month_oct,1.74824798717231,1.74824798717231
cat__month_nov,-1.0540886755694099,1.0540886755694099
cat__month_may,-0.963995560755289,0.963995560755289
num__emp.var.rate,-0.9580338563156522,0.9580338563156522
num__euribor3m,0.8716565527400961,0.8716565527400961
cat__month_mar,0.7279036574304801,0.7279036574304801
cat__poutcome_failure,-0.5389442696168295,0.5389442696168295
cat__month_jun,-0.5362716050811925,0.5362716050811925
cat__contact_telephone,-0.48485163944810616,0.48485163944810616
cat__default_unknown,-0.43492488480153374,0.43492488480153374
cat__job_retired,0.42345696687227957,0.42345696687227957
num__nr.employed,-0.38283912819423493,0.38283912819423493
cat__job_student,0.36838114949742723,0.36838114949742723
cat__month_jul,-0.3070668400333893,0.3070668400333893
cat__day_of_week_mon,-0.2933062453744156,0.2933062453744156
cat__marital_divorced,-0.27605107139032986,0.27605107139032986
cat__education_basic.4y,-0.269305489302804,0.269305489302804
cat__housing_unknown,-0.2640520268166762,0.2640520268166762
cat__loan_unknown,-0.2640520268166762,0.2640520268166762
cat__month_apr,-0.25497217263552313,0.25497217263552313
cat__marital_married,-0.24309845139023253,0.24309845139023253
cat__job_services,-0.22659414251468535,0.22659414251468535
cat__day_of_week_fri,-0.2237531905504513,0.2237531905504513
cat__job_housemaid,-0.2233965305076779,0.2233965305076779
num__cons.price.idx,0.22123843429055226,0.22123843429055226
cat__default_no,-0.2098751685072657,0.2098751685072657
cat__loan_no,-0.20250053087649475,0.20250053087649475
cat__housing_yes,-0.2011774156619102,0.2011774156619102
cat__housing_no,-0.19404947955234164,0.19404947955234164
cat__job_unemployed,-0.1937172085617901,0.1937172085617901
cat__loan_yes,-0.19272636433775142,0.19272636433775142
num__cons.conf.idx,-0.17596981231901634,0.17596981231901634
cat__contact_cellular,-0.17442728258279616,0.17442728258279616
cat__job_blue-collar,-0.17047102791902918,0.17047102791902918
cat__job_management,-0.1563083307367216,0.1563083307367216
cat__education_basic.9y,-0.15176703795251537,0.15176703795251537
cat__education_professional.course,-0.14817030699404884,0.14817030699404884
cat__day_of_week_tue,-0.13705458294641898,0.13705458294641898
cat__job_technician,-0.13363673661139713,0.13363673661139713
cat__job_entrepreneur,-0.13320609057058647,0.13320609057058647
num__pdays,-0.12782632555220674,0.12782632555220674
cat__marital_single,-0.12704293363220087,0.12704293363220087
cat__job_admin.,-0.12547181088452483,0.12547181088452483
cat__education_high.school,-0.11666120664291581,0.11666120664291581
num__campaign,-0.09511595281942097,0.09511595281942097
cat__job_self-employed,-0.08264567729479576,0.08264567729479576
cat__education_illiterate,0.0823169466975629,0.0823169466975629
cat__poutcome_success,-0.08221949061926186,0.08221949061926186
cat__education_unknown,-0.05302280268599912,0.05302280268599912
num__previous,-0.045617294942577366,0.045617294942577366
cat__day_of_week_thu,-0.04275942945767356,0.04275942945767356
cat__poutcome_nonexistent,-0.03811516179483129,0.03811516179483129
cat__day_of_week_wed,0.037594526298088085,0.037594526298088085
cat__month_aug,-0.023466109943968378,0.023466109943968378
cat__education_basic.6y,-0.021954147824450477,0.021954147824450477
cat__education_university.degree,0.01928512267427319,0.01928512267427319
cat__default_yes,-0.014478868722128672,0.014478868722128672
cat__marital_unknown,-0.013086465618159186,0.013086465618159186
num__age,-0.007698046274664993,0.007698046274664993
cat__job_unknown,-0.005669482799388145,0.005669482799388145
cat__month_dec,0.004430397385111209,0.004430397385111209
